<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;11/09/18-открытие;11/09/18-закрытие;11/09/18-мин;11/09/18-макс;11/10/18-открытие;11/10/18-закрытие;11/10/18-мин;11/10/18-макс;13/11/18-открытие;13/11/18-закрытие;13/11/18-мин;13/11/18-макс;11/12/18-открытие;11/12/18-закрытие;11/12/18-мин;11/12/18-макс
SPFB,RTS-12,18;1;11,09,2018;10:01;103300;104000;103300;103730;159;;;103300;103730;103300;104000;112130;111370;111340;112230;110480;110660;110480;110680;113040;113290;113040;113420
SPFB,RTS-12,18;1;11,09,2018;10:02;103740;103900;103740;103820;137;;;103740;103820;103740;103900;111370;111540;111300;111570;110670;110810;110660;110870;113290;113480;113270;113580
SPFB,RTS-12,18;1;11,09,2018;10:03;103850;103960;103850;103960;38;;;103850;103960;103850;103960;111540;111450;111380;111550;110830;110860;110790;111050;113480;113330;113300;113490
SPFB,RTS-12,18;1;11,09,2018;10:04;103920;103920;103780;103800;70;;;103920;103800;103780;103920;111460;111390;111320;111480;110860;110980;110860;111000;113350;113510;113320;113510
SPFB,RTS-12,18;1;11,09,2018;10:05;103790;103860;103790;103860;8;;;103790;103860;103790;103860;111390;111310;111300;111460;110990;111040;110970;111110;113510;113480;113440;113560
SPFB,RTS-12,18;1;11,09,2018;10:06;103880;103960;103780;103820;162;;;103880;103820;103780;103960;111310;111480;111280;111490;111030;111020;110950;111040;113480;113460;113410;113520
SPFB,RTS-12,18;1;11,09,2018;10:07;103850;103880;103810;103880;39;;;103850;103880;103810;103880;111480;111750;111460;111840;111020;111000;110990;111050;113470;113420;113410;113490
SPFB,RTS-12,18;1;11,09,2018;10:08;103890;103970;103890;103910;50;;;103890;103910;103890;103970;111740;111790;111680;111820;111000;111050;110950;111150;113410;113400;113370;113430
SPFB,RTS-12,18;1;11,09,2018;10:09;103980;104000;103970;103990;62;;;103980;103990;103970;104000;111780;112180;111780;112210;111040;110970;110940;111050;113390;113370;113360;113450
SPFB,RTS-12,18;1;11,09,2018;10:10;103980;104000;103980;103980;20;;;103980;103980;103980;104000;112190;112150;112100;112270;110960;110880;110870;110990;113360;113360;113340;113410
